33613.1588,86118.3061
33100.954,85529.6753
31571.8352,85250.4893
32070.4299,85687.7257
33290.3926,87198.053
33356.2217,86806.9333
32105.4238,86276.3547
32609.0206,86311.0828
33883.9885,86644.7135
32121.5366,87906.1227
32876.5165,87742.5105
34022.3194,86045.5285
31126.2925,85072.4294
31277.9473,86125.7796
34267.5937,86208.8669
33638.9941,86965.2734
33707.0527,87241.9462
32944.012,85953.8532
34178.984,85512.1818
33129.5681,88151.4166
31936.8156,87053.318
30702.9675,88078.8886
32490.969,87660.8407
32480.9714,85562.1727
34694.2587,88110.3182
33114.563,86879.1562
33348.722,86238.5859
33579.2704,86637.487
34026.2082,86326.0923
33737.886,87252.5024
34071.2081,85921.359
32052.9256,87570.8342
31886.2644,86115.7906
31385.7228,86383.0123
31759.0481,85889.1149
34230.6496,85638.0189
31221.0066,87121.3622
34830.3643,87485.3023
31968.2064,88146.6822
31141.5693,85151.3196
31175.7331,85360.2108
34992.0292,86846.9471
33801.4945,87116.9459
33905.1027,86962.5006
33882.0433,86524.7095
32239.5907,85657.7274
31511.8345,85545.2156
34620.9198,86165.5374
34802.8661,86971.6741
31023.7921,87493.8708
34360.6537,87995.0366
32434.0249,86654.7019
33343.1705,85478.0085
31621.548,86701.3606
31189.3444,85286.0437
33521.7717,86778.045
31837.93,86948.8708
30929.9052,88027.2209
31279.6139,86325.5085
33755.6599,87001.665
34895.6408,87571.4145
34262.3179,86612.7712
34163.7082,86659.7169
31163.7872,85635.4893
34189.266,86916.9483
31417.6722,85227.4324
34058.7093,85808.0229
33776.775,87301.1153
31815.1585,85843.0034
32299.5852,86196.3537
33361.2239,85715.7931
31467.9494,85118.8189
33716.2181,87158.6115
30424.9194,87879.4366
31192.1208,85420.7668
34738.701,87891.1457
31659.6042,88234.7338
31971.2631,87861.3968
31341.5568,86130.7808
31261.0051,85889.9382
34952.8584,85708.3041
30882.9628,87773.0474
33558.7173,86973.6057
30403.516,88248.522
34556.4818,86967.5079
33894.5496,87700.0188
31519.0565,85586.0493
31733.4888,87204.7083
